y3_hhid,gardenid,plotid,crop_loss,crop_loss_reason_rain_excess,crop_loss_reason_rain_little,crop_loss_reason_insects,crop_loss_reason_disease,crop_loss_reason_weeds,crop_loss_reason_hail,crop_loss_reason_floods,crop_loss_reason_frost,crop_loss_reason_animals,crop_loss_reason_locust,crop_loss_reason_birds,crop_loss_reason_shortage,crop_loss_reason_fertility,crop_loss_reason_security,crop_loss_reason_spoiled,crop_loss_reason_other,area_loss,area_loss_reason_drought,area_loss_reason_insects,area_loss_reason_animals,area_loss_reason_theft,area_loss_reason_disease,area_loss_reason_labor,area_loss_reason_other,area_loss_reason_rains,area_loss_reason_floods,area_loss_reason_fire,area_loss_reason_not_finished,pure_stand,pure_stand_maize,entire_plot_planted,harvest_completed,planting_month,planting_year,harvesting_month_start,harvesting_month_end,area_planted_with_crop,kgs_harvested,plot_area_ha,first_crop_planted,second_crop_planted,third_crop_planted,fourth_crop_planted,fifth_crop_planted,soil_type,soil_quality,plot_slope,month_planted_plot,half_month_planted_plot,plot_area_gps,area_planted,cultivated,season,crop_cutting,area_harvested,crop_loss_ha,area_harvested_with_crop,plot_elevation,plot_twi,hh_gps_lat,hh_gps_long,annual_temp,annual_precip,ea_id,region,district,ta_code,reside
0086-001,TG02,T01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,11,-11.5364,34.278,238,1565,10308636,North,Nkhatabay,8,RURAL
0086-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,0,1,12,,4,4,0,631.7500610351563,.7440000000000001,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Slight slope,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,720,12,-11.5364,34.278,238,1565,10308636,North,Nkhatabay,8,RURAL
0087-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.5364,34.278,238,1565,10308636,North,Nkhatabay,8,RURAL
0087-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.715793,35.011122,219,993,10308636,North,Nkhatabay,8,URBAN
0088-001,RG02,R01,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,1,1,0,0,11,,7,7,0,0,.6000000000000001,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Slight slope,NOVEMBER,2ND HALF,1,0,1,Rainy,,,,,1210,19,-11.285,33.7785,202,855,10502268,North,Mzimba,2,RURAL
0088-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,0,0,1,12,,1,4,0,1000,.7200000000000001,TOBACCO,,,,,Sandy (Mchenga),Good,Slight slope,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1220,14,-11.285,33.7785,202,855,10502268,North,Mzimba,2,RURAL
0088-003,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,1,12,,,,0,166.5,.176,MAIZE,,,,,Sandy (Mchenga),Poor,Slight slope,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1120,21,-11.321771,33.84153,200,933,10502268,North,Mzimba,2,RURAL
0089-002,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,0,1,12,,5,5,0,414.5849914550781,.6200000000000001,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Slight slope,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1190,12,-11.36664,33.853241,197,981,10502268,North,Mzimba,2,RURAL
0089-002,RG02,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,0,1,12,,5,5,0,322.4549865722656,.396,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Slight slope,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1190,12,-11.36664,33.853241,197,981,10502268,North,Mzimba,2,RURAL
0089-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.366113,33.844476,197,981,10502268,North,Mzimba,2,RURAL
0090-001,RG01,T01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230,16,-11.285,33.7785,202,842,10502268,North,Mzimba,2,RURAL
0090-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,0,0,1,12,,1,3,0,320,.572,TOBACCO,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1230,14,-11.285,33.7785,202,842,10502268,North,Mzimba,2,RURAL
0090-001,RG02,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,0,1,12,,6,6,0,166.5,.3160000000000001,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1230,19,-11.285,33.7785,202,842,10502268,North,Mzimba,2,RURAL
0090-001,RG03,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,0,1,12,,6,6,0,460.6499938964844,.504,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Slight slope,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1260,15,-11.285,33.7785,202,842,10502268,North,Mzimba,2,RURAL
0090-001,RG01,R02,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,0,1,12,,6,6,0,166.5,.144,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1230,16,-11.285,33.7785,202,842,10502268,North,Mzimba,2,RURAL
0092-001,RG02,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,1,12,,1,3,0,460,.26,TOBACCO,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1270,13,-11.285,33.7785,201,834,10502268,North,Mzimba,2,RURAL
0092-001,RG01,R03,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,0,1,12,,6,6,0,92.12999725341797,.3,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1260,13,-11.285,33.7785,201,834,10502268,North,Mzimba,2,RURAL
0092-001,RG01,R02,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,0,0,1,12,,7,7,0,0,.164,GROUNDNUT,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1260,12,-11.285,33.7785,201,834,10502268,North,Mzimba,2,RURAL
0092-001,RG03,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,,,,,0,0,.528,,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,,,1,0,0,Rainy,,,,,1260,13,-11.285,33.7785,201,834,10502268,North,Mzimba,2,RURAL
0092-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,0,1,12,,7,7,0,277.5,.216,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Slight slope,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1260,12,-11.285,33.7785,201,834,10502268,North,Mzimba,2,RURAL
0093-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,1,1,11.5,,5,6,1.125,832.5,.4,MAIZE,BEANS,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Slight slope,NOVEMBER,2ND HALF,1,.44999999,1,Rainy,,,,,1230,13,-11.355296,33.802462,202,926,10502268,North,Mzimba,2,RURAL
0094-001,RG01,R01,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,0,1,12,,4,4,0,610.5,1.112,MAIZE,,,,,Clay (Katondo),Good,Slight slope,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1240,12,-11.285,33.7785,202,845,10502268,North,Mzimba,2,RURAL
0094-001,RG01,T02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,13,-11.285,33.7785,202,845,10502268,North,Mzimba,2,RURAL
0094-001,RG01,R02,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,0,0,1,12,,5,5,0,81.41999816894531,.168,GROUNDNUT,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Slight slope,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1250,13,-11.285,33.7785,202,845,10502268,North,Mzimba,2,RURAL
0095-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,0,1,2,,4,5,0,552.7799682617188,.332,MAIZE,,,,,Sandy (Mchenga),Fair,Flat,FEBRUARY,1ST HALF,1,0,1,Rainy,,,,,1240,18,-11.285,33.7785,201,843,10502268,North,Mzimba,2,RURAL
0095-001,RG01,T02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240,18,-11.285,33.7785,201,843,10502268,North,Mzimba,2,RURAL
0096-001,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,1,12,,5,5,0,18.05000114440918,.016,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Flat,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1240,18,-11.285,33.7785,201,843,10502268,North,Mzimba,2,RURAL
0096-001,RG02,R01,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,1,1,1,12,,4,4.5,1.25,112.3848214149475,.3200000000000001,MAIZE,NKHWANI,,,,Sandy (Mchenga),Poor,Moderate slope,DECEMBER,2ND HALF,1,.40000001,1,Rainy,,,,,1280,13,-11.285,33.7785,201,843,10502268,North,Mzimba,2,RURAL
0097-001,RG02,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,,,,,0,0,.276,,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Slight slope,,,1,0,0,Rainy,,,,,1210,14,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0097-001,RG04,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,,,,,0,0,.7440000000000001,,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Slight slope,,,1,0,0,Rainy,,,,,1270,13,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0097-001,RG01,R02,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,0,1,12,,6,6,0,0,.232,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1210,15,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0097-001,RG01,R03,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,0,1,12,,6,6,0,0,.3120000000000001,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1210,15,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0097-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,0,0,1,12,,2,4,0,4000,.6440000000000001,TOBACCO,,,,,Sandy (Mchenga),Good,Slight slope,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1210,14,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0097-001,RG03,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,,,,,0,0,.844,,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Slight slope,,,1,0,0,Rainy,,,,,1230,17,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0098-001,RG01,T02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240,14,-11.285,33.7785,202,842,10502268,North,Mzimba,2,RURAL
0098-001,RG01,R03,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,1,12,,1,2,0,64,.064,TOBACCO,,,,,Sandy (Mchenga),Fair,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1240,14,-11.285,33.7785,202,842,10502268,North,Mzimba,2,RURAL
0098-001,RG01,R02,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,1,12,,5,5,0,81.41999816894531,.088,GROUNDNUT,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1240,15,-11.285,33.7785,202,842,10502268,North,Mzimba,2,RURAL
0098-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,1,0,1,12,,6,6,0,184.2599945068359,.568,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Slight slope,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1240,15,-11.285,33.7785,202,842,10502268,North,Mzimba,2,RURAL
0099-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,1,0,1,12,,5,5,0,222,.392,MAIZE,,,,,Sandy (Mchenga),Fair,Slight slope,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1230,13,-11.285,33.7785,202,842,10502268,North,Mzimba,2,RURAL
0099-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.76443,35.009395,209,1074,10502268,North,Mzimba,2,URBAN
0100-002,RG01,T01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,13,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0100-002,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,1,12,,4.5,5.5,.25,334.3848214149475,.36,MAIZE,NKHWANI,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Flat,DECEMBER,1ST HALF,1,.090000004,1,Rainy,,,,,1210,13,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0101-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.458614,33.67054,200,872,10502268,North,Mzimba,2,RURAL
0102-001,RG02,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,1,12,,6,6,0,3885,.5599999999999999,MAIZE,,,,,Clay (Katondo),Good,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1220,13,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0102-001,RG02,T02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220,13,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0102-001,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,1,12,,6,6,0,325.6799926757813,.36,GROUNDNUT,,,,,Clay (Katondo),Good,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1220,13,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0102-001,RG01,T01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220,13,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0102-001,RG03,R01,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,0,0,1,12,,6,6,0,1221.299926757813,.4,GROUNDNUT,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Slight slope,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1210,14,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0102-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.438895,34.002059,182,1190,10502268,North,Mzimba,2,URBAN
0103-001,RG02,T01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,13,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0103-001,RG02,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,0,12,,5,5,0,0,.2,GROUNDNUT,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Slight slope,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1220,14,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0103-001,RG01,R01,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,0,0,1,1,12,,6,6,2.25,580.9199981689453,.4400000000000001,MAIZE,SOYABEAN,GROUNDNUT,,,Sandy (Mchenga),Fair,Moderate slope,DECEMBER,2ND HALF,1,.99000001,1,Rainy,,,,,1210,15,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0104-001,RG02,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,0,1,12,,6,6,0,1165.320068359375,.76,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Moderate slope,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1140,15,-11.3125,33.4799,210,797,10505310,North,Mzimba,5,RURAL
0104-001,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,1,12,,5,6,0,814.199951171875,1.16,GROUNDNUT,,,,,Sandy (Mchenga),Good,Flat,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1150,13,-11.3125,33.4799,210,797,10505310,North,Mzimba,5,RURAL
0104-001,RG03,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,1,1,12,,4.5,7,1.75,1958.699951171875,.96,MAIZE,NKHWANI,,,,Clay (Katondo),Poor,Flat,DECEMBER,1ST HALF,1,1.6799999,1,Rainy,,,,,1130,13,-11.3125,33.4799,210,797,10505310,North,Mzimba,5,RURAL
0105-001,DG01,D01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,1,6,,9,10,0,0,.024,IRISH [MALAWI] POTATO,,,,,Other (Specify),Fair,Flat,AUGUST,1ST HALF,1,0,1,Dry,,,,,1200,14,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0105-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,0,1,12,,6,6,0,494,.2,TOBACCO,,,,,Clay (Katondo),Fair,Slight slope,DECEMBER,2ND HALF,0,0,1,Rainy,,,,,,,,,,,10502268,North,Mzimba,2,RURAL
0105-001,RG02,T01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,14,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0105-001,RG01,R02,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,0,0,1,0,12,,6,6,2,0,.2,MAIZE,SOYABEAN,,,,Clay (Katondo),Fair,Slight slope,DECEMBER,2ND HALF,0,.40000001,1,Rainy,,,,,,,,,,,10502268,North,Mzimba,2,RURAL
0105-001,RG02,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,0,0,1,12,,2,3,0,0,.28,TOBACCO,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1210,14,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0105-001,RG03,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,0,0,1,12,,1,3,0,250,.8,TOBACCO,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1220,13,-11.285,33.7785,203,846,10502268,North,Mzimba,2,RURAL
0105-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.285,33.7785,204,858,10502268,North,Mzimba,2,RURAL
0105-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.360674,33.869975,197,981,10502268,North,Mzimba,2,RURAL
0106-001,RG03,R01,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,0,0,0,1,,6,6,0,0,.112,SWEET POTATO,,,,,Sandy (Mchenga),Fair,Flat,JANUARY,1ST HALF,1,0,1,Rainy,,,,,1150,14,-11.3125,33.4799,210,798,10505310,North,Mzimba,5,RURAL
0106-001,RG02,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,1,0,1,11,,6,6,0,222,.6480000000000001,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Slight slope,NOVEMBER,1ST HALF,1,0,1,Rainy,,,,,1150,13,-11.3125,33.4799,210,798,10505310,North,Mzimba,5,RURAL
0106-001,RG01,R01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,1,12,,2,3,0,0,.112,TOBACCO,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,DECEMBER,1ST HALF,1,0,1,Rainy,,,,,1150,14,-11.3125,33.4799,210,798,10505310,North,Mzimba,5,RURAL
0107-001,RG01,R03,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,1,0,0,0,12,,5,5,0,0,.092,GROUNDNUT,,,,,Sandy (Mchenga),Poor,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1120,14,-11.3125,33.4799,212,798,10505310,North,Mzimba,5,RURAL
0107-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,0,0,11,,6,6,0,0,.596,MAIZE,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,NOVEMBER,2ND HALF,1,0,1,Rainy,,,,,1120,12,-11.3125,33.4799,212,798,10505310,North,Mzimba,5,RURAL
0107-001,RG01,T01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,12,-11.3125,33.4799,212,798,10505310,North,Mzimba,5,RURAL
0107-001,RG02,R01,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,0,0,1,0,2,,6,6,1,0,.024,OTHER (SPECIFY),,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,FEBRUARY,1ST HALF,1,.024,1,Rainy,,,,,1120,13,-11.3125,33.4799,212,798,10505310,North,Mzimba,5,RURAL
0107-001,RG02,R02,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,1,0,1,,5,7,1,0,.04,SWEET POTATO,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,JANUARY,2ND HALF,1,.039999999,1,Rainy,,,,,1120,13,-11.3125,33.4799,212,798,10505310,North,Mzimba,5,RURAL
0107-001,RG01,R02,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,1,0,0,1,12,,3,4,0,130,.3720000000000001,TOBACCO,,,,,Sandy (Mchenga),Poor,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1120,13,-11.3125,33.4799,212,798,10505310,North,Mzimba,5,RURAL
0108-001,RG01,T01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140,17,-11.3125,33.4799,210,798,10505310,North,Mzimba,5,RURAL
0108-001,RG03,R01,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,1,1,12,,4,5,1.25,74.56500244140625,.3200000000000001,MAIZE,NKHWANI,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,DECEMBER,1ST HALF,1,.40000001,1,Rainy,,,,,1140,13,-11.3125,33.4799,210,798,10505310,North,Mzimba,5,RURAL
0108-001,RG03,T01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140,13,-11.3125,33.4799,210,798,10505310,North,Mzimba,5,RURAL
0108-001,RG02,R01,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,0,0,1,12,,1,4,0,1275,.76,TOBACCO,,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1130,13,-11.3125,33.4799,210,798,10505310,North,Mzimba,5,RURAL
0108-001,RG01,R01,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,0,1,1,12,,1.5,5.5,1.25,167.1374969482422,.16,TOBACCO,NKHWANI,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Good,Flat,DECEMBER,2ND HALF,1,.2,1,Rainy,,,,,1140,17,-11.3125,33.4799,210,798,10505310,North,Mzimba,5,RURAL
0109-001,RG01,T01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,13,-11.3125,33.4799,212,801,10505310,North,Mzimba,5,RURAL
0109-001,RG01,R04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.76,,,,,,Sandy (Mchenga),Fair,Flat,,,1,,0,Rainy,,,,,1120,14,-11.3125,33.4799,212,801,10505310,North,Mzimba,5,RURAL
0109-001,RG01,R01,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,0,0,1,12,,3,4,0,240,.4400000000000001,TOBACCO,,,,,Sandy (Mchenga),Fair,Flat,DECEMBER,2ND HALF,1,0,1,Rainy,,,,,1120,13,-11.3125,33.4799,212,801,10505310,North,Mzimba,5,RURAL
0109-001,RG01,R02,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,0,0,1,,6,6,0,0,.16,GROUNDNUT,,,,,Sandy (Mchenga),Fair,Flat,JANUARY,1ST HALF,1,0,1,Rainy,,,,,1110,13,-11.3125,33.4799,212,801,10505310,North,Mzimba,5,RURAL
0109-001,RG01,R03,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,1,0,0,1,,6,6,0,0,.8400000000000001,MAIZE,,,,,Sandy (Mchenga),Fair,Flat,JANUARY,1ST HALF,1,0,1,Rainy,,,,,1110,13,-11.3125,33.4799,212,801,10505310,North,Mzimba,5,RURAL
0110-001,RG02,R01,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,1,1,1,1,12,,4.5,5.5,1,62.13749694824219,.8,MAIZE,NKHWANI,,,,Between sandy & clay(Pakati pa mchenga ndi katondo),Fair,Flat,DECEMBER,2ND HALF,1,.80000001,1,Rainy,,,,,1150,14,-11.3125,33.4799,210,798,10505310,North,Mzimba,5,RURAL
0110-001,RG01,R02,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,0,1,1,12,,4.5,5,1.125,579.3699951171875,.4400000000000001,GROUNDNUT,BEANS,,,,Sandy (Mchenga),Fair,Slight slope,DECEMBER,2ND HALF,1,.495,1,Rainy,,,,,1150,14,-11.3125,33.4799,210,798,10505310,North,Mzimba,5,RURAL
